Order ID,Stripe Charge ID,Printful Order ID,Status,Date (UTC),Stripe Amount Paid,Printful Amount Paid,Donation Amount,Refunded,Currency
cmgpv04yl0001yq3pixp9450y,,,PAID,2025-10-14T01:04:16.412Z,21.50,,,No,usd
cmgpvyacy0001rwbbx18rlue1,,,FULFILLING,2025-10-14T01:30:49.713Z,21.50,,,No,usd
cmgpxppay000127u6azumzfse,,,FULFILLING,2025-10-14T02:20:08.409Z,21.50,,,No,usd
cmgrw3sq80001f8hsjv1gt1pi,,,FULFILLING,2025-10-15T11:10:39.151Z,52.98,,,No,usd
cmgzc4bjp0001vhizhv0q9ryk,,131740141,PAID,2025-10-20T16:13:20.629Z,27.02,,,No,usd
cmgzdap1y0001laxpgkhsvfwv,,,PAID,2025-10-20T16:46:17.685Z,27.02,,,No,usd
cmgzdpesj0001or12yd1yg9w6,,,PAID,2025-10-20T16:57:44.226Z,27.02,,,No,usd
cmgzdxbm60001engoirtdgmix,,,PAID,2025-10-20T17:03:53.357Z,27.02,,,No,usd
cmgzfcp4l000156whr5kufol8,,,PAID,2025-10-20T17:43:50.325Z,27.02,,,No,usd
cmgzfo6te0001tmjwogjh6sdb,,,PAID,2025-10-20T17:52:46.465Z,27.02,,,No,usd
cmgzfuebm0005tmjwarbh14yq,,,PAID,2025-10-20T17:57:36.130Z,27.02,,,No,usd
cmgzg14fd0009tmjwf4ute019,,,PAID,2025-10-20T18:02:49.898Z,27.02,,,No,usd
cmgzgs0j80001j1ufhu0cb1q9,,,PAID,2025-10-20T18:23:44.563Z,27.02,,,No,usd
cmgzhgi900001657fhu2925c2,,,PAID,2025-10-20T18:42:47.267Z,27.02,,,No,usd
cmgzhugyx0001l93spoi2mkqc,,,PAID,2025-10-20T18:53:38.792Z,27.02,,,No,usd
cmgzk7fqn0001yt90na81dumz,,,PAID,2025-10-20T19:59:42.958Z,27.02,,,No,usd
cmgzkan4t0005yt90rro95t98,,,PAID,2025-10-20T20:02:12.509Z,27.02,,,No,usd
cmgzl4jix0001gi4a9gmjy2r1,,,PAID,2025-10-20T20:25:27.512Z,27.02,,,No,usd
cmgzltrdf00015c85vhw029de,,,PAID,2025-10-20T20:45:04.082Z,27.02,,,No,usd
cmgzm2u6z00011486xgc0tnjo,,,PAID,2025-10-20T20:52:07.643Z,27.02,,,No,usd
cmgzoi61t0001uobhpdg2chzs,,,PAID,2025-10-20T22:00:02.080Z,27.02,,,No,usd
cmgzolgmj0001zubi4qsnxfpe,,,PAID,2025-10-20T22:02:35.754Z,27.02,,,No,usd
cmgzpdayy0001krdr6fzgxlp9,,,PAID,2025-10-20T22:24:14.793Z,27.02,,,No,usd
cmgzq58f50001t5hb6wx7kdwu,,,PAID,2025-10-20T22:45:57.856Z,27.02,,,No,usd
cmgzqbloa0005t5hbdytf9ii2,,,PAID,2025-10-20T22:50:54.971Z,27.02,,,No,usd
cmh0n8gbu00019xqf7q29rmud,,,PAID,2025-10-21T14:12:15.402Z,27.02,,,No,usd
cmh0njaz10001r5awd1fuu6vo,,,PAID,2025-10-21T14:20:41.676Z,27.02,,,No,usd
cmh0o1s1o000114fz365ob43n,,,PAID,2025-10-21T14:35:03.611Z,27.02,,,No,usd
cmh0okza80001kke3je5lia4x,,,PAID,2025-10-21T14:49:59.455Z,27.02,,,No,usd
cmh0p0qni0001uvqcre8oowvp,,,PAID,2025-10-21T15:02:14.765Z,27.02,,,No,usd
cmh0tm9bf00019r2rza1jj53l,,,PAID,2025-10-21T17:10:57.195Z,27.02,,,No,usd
cmh0tmmw10001ppto9rze345l,,,PAID,2025-10-21T17:11:14.785Z,27.02,,,No,usd
cmh0ty88m0001132w7t66ztub,,,PAID,2025-10-21T17:20:15.669Z,27.02,,,No,usd
cmh0uilk10001m6nycz10qlxh,,,PAID,2025-10-21T17:36:06.048Z,27.02,,,No,usd
cmh0vlqh40001abevfzkr19b5,,,PAID,2025-10-21T18:06:32.008Z,27.02,,,No,usd
cmh0vs8dy0005abevkg0amacr,,,PAID,2025-10-21T18:11:35.158Z,27.02,,,No,usd
cmh0vuc2x0001co2aannwcyhm,,131819196,PAID,2025-10-21T18:13:13.256Z,27.02,21.02,6.00,No,usd
cmh0w2v91000111qmxfbjceff,,131819710,PAID,2025-10-21T18:19:51.348Z,27.02,21.02,6.00,No,usd
cmh0wnwsm0001m8i3ps2pk4ix,,131820797,PAID,2025-10-21T18:36:13.125Z,27.02,21.02,6.00,No,usd

Totals (Finalized Orders Only),,,,,1063.18,63.06,18.00,,
